Turf Name,Location,Landmark,Price Per Hour,Rating,Number of Reviews,Open Time,Close Time,Available on Weekend,Turf Type,Amenities,Contact Number,Latitude,Longitude,Maintenance Issues (days/month),Last-Minute Cancellations/week,Year,Users Per Year
Barnes-Martin Turf,Kodambakkam,Next to ABC Park,808,3.7,21,08:00,22:00,No,7‑a‑side,"Parking, Canteen, Floodlights, Washroom",001-697-505-6360,13.18441,80.095783,1,1,2022,3093
Rodriguez-Walker Turf,Velachery,Beside Metro Station,822,4.0,126,07:00,23:00,Yes,Futsal,"Parking, Changing Room",001-681-525-3093x246,13.018835,80.261076,1,7,2022,2468
Avila and Sons Turf,Medavakkam,Beside Metro Station,486,3.4,24,07:00,22:00,No,6‑a‑side,"Floodlights, Parking, Changing Room, Canteen",001-569-853-9481,13.081612,80.175405,2,0,2022,2253
"Howard, Jones and Smith Turf",Chromepet,Opposite Main Bus Stop,1174,3.1,137,06:00,22:00,No,6‑a‑side,"Washroom, Canteen",8747980950,13.183515,80.241699,4,5,2022,2796
Ramos-Ross Turf,Velachery,Beside Metro Station,347,4.1,60,07:00,23:00,Yes,7‑a‑side,"Floodlights, Parking, Changing Room",+1-487-445-0726x0618,13.001537,80.223123,4,7,2022,2761
"Rios, Mclaughlin and Walker Turf",Kilpauk,Beside Metro Station,704,4.2,67,05:00,20:00,Yes,7‑a‑side,"Floodlights, Changing Room, Parking, Canteen",6469175049,13.166026,80.040888,0,2,2022,2786
Jackson-Carter Turf,Nungambakkam,Next to ABC Park,522,2.6,145,05:00,20:00,Yes,7‑a‑side,"Washroom, Canteen, Changing Room",(431)488-0287,13.110032,80.140927,0,7,2022,4702
"Miller, Bowers and Williams Turf",Mylapore,Close to Railway Station,810,3.3,130,08:00,21:00,Yes,7‑a‑side,"Parking, Floodlights, Changing Room",(940)585-2165x320,13.18874,80.031431,1,0,2022,3378
Jackson Group Turf,Porur,Beside Metro Station,1188,4.9,44,08:00,21:00,No,Futsal,"Canteen, Washroom",(299)447-0880x3075,13.008817,80.08023,0,8,2022,4643
Hampton-Cook Turf,Medavakkam,Near XYZ Mall,632,3.0,73,05:00,23:00,Yes,5‑a‑side,"Floodlights, Parking, Canteen, Changing Room",8922949492,13.000241,80.139788,2,8,2022,4144
Gonzales-Taylor Turf,T Nagar,Close to Railway Station,455,3.8,56,06:00,20:00,No,Futsal,"Floodlights, Canteen, Washroom",940-469-1204x5063,13.108577,80.137524,4,4,2022,4932
Warner-Liu Turf,Kilpauk,Beside Metro Station,1192,3.8,5,08:00,22:00,No,6‑a‑side,"Floodlights, Canteen, Parking, Washroom",(422)661-3140x88567,13.196018,80.139449,1,9,2022,2555
"Allen, Gonzales and Griffith Turf",Kodambakkam,Beside Metro Station,932,3.8,120,06:00,21:00,No,Futsal,"Floodlights, Changing Room, Parking",(992)435-9179x7820,13.132507,80.131031,0,3,2022,1776
Craig-Fernandez Turf,Velachery,Close to Railway Station,664,4.0,49,05:00,21:00,No,Futsal,"Washroom, Floodlights, Parking",317.942.2371x02031,13.025591,80.082949,2,5,2022,3266
Avila-Rios Turf,Chromepet,Close to Railway Station,534,3.7,129,08:00,21:00,Yes,5‑a‑side,"Floodlights, Parking, Canteen, Changing Room",933-220-2682x902,13.140253,80.049777,2,6,2022,802
Yates Ltd Turf,Porur,Opposite Main Bus Stop,1108,3.8,40,06:00,21:00,Yes,6‑a‑side,"Floodlights, Washroom",910.256.1061x35233,13.040636,80.248,0,4,2022,1138
West-Hunter Turf,OMR,Opposite Main Bus Stop,1154,2.9,102,07:00,23:00,No,Futsal,"Floodlights, Canteen, Parking",743.905.4063,13.105101,80.284179,4,9,2022,555
"Perry, Myers and Wiggins Turf",Guindy,Beside Metro Station,1137,3.9,63,08:00,21:00,No,7‑a‑side,"Washroom, Parking",001-645-431-1921,13.075945,80.057862,0,8,2022,1025
"Hughes, Calderon and Perkins Turf",Tambaram,Near XYZ Mall,714,4.1,96,07:00,21:00,No,5‑a‑side,"Parking, Changing Room, Washroom, Floodlights",-4484,13.10694,80.100658,1,2,2022,4623
Bailey Ltd Turf,Mylapore,Next to ABC Park,463,2.7,145,06:00,21:00,No,5‑a‑side,"Changing Room, Washroom, Parking, Canteen",845-725-8594x0398,13.186872,80.215482,0,6,2022,2625
"Martin, Miller and Owens Turf",Mylapore,Next to ABC Park,767,3.9,72,06:00,22:00,Yes,7‑a‑side,"Changing Room, Washroom",+1-794-542-2189x99625,13.004879,80.27273,2,9,2022,3787
Rodriguez Inc Turf,Ambattur,Near XYZ Mall,843,4.6,86,07:00,22:00,Yes,7‑a‑side,"Washroom, Floodlights, Canteen",+1-617-639-4178x697,13.034626,80.019083,0,9,2022,864
Bullock-Johnson Turf,Nungambakkam,Close to Railway Station,900,3.6,98,07:00,23:00,Yes,Futsal,"Changing Room, Washroom, Parking",561.506.2355,13.092287,80.096745,4,4,2022,2146
Mills Group Turf,Velachery,Beside Metro Station,601,4.8,109,07:00,20:00,Yes,7‑a‑side,"Floodlights, Washroom, Changing Room, Canteen",(518)277-5086x77979,13.018675,80.26493,3,6,2022,1418
"Davis, Diaz and Matthews Turf",Ambattur,Next to ABC Park,701,4.7,139,05:00,22:00,Yes,6‑a‑side,"Floodlights, Washroom, Canteen, Changing Room",655-848-3937,13.197967,80.149323,0,1,2022,3297
Johnson LLC Turf,Adyar,Close to Railway Station,1102,3.7,100,06:00,21:00,Yes,7‑a‑side,"Changing Room, Parking, Canteen",001-794-753-5996x24010,13.088217,80.295899,4,3,2022,2031
Kennedy LLC Turf,Kilpauk,Beside Metro Station,657,3.4,68,05:00,21:00,No,6‑a‑side,"Floodlights, Canteen",527.547.5427x918,13.010353,80.16153,4,1,2022,3845
Friedman-Weaver Turf,Perungudi,Next to ABC Park,322,4.3,128,05:00,21:00,No,5‑a‑side,"Washroom, Floodlights",817-602-1249x1818,13.048657,80.228916,2,6,2022,2406
Williams-Martin Turf,Mylapore,Near XYZ Mall,864,4.4,103,07:00,20:00,No,5‑a‑side,"Floodlights, Parking",(832)743-1954x527,13.175897,80.132079,4,1,2022,3586
"Christensen, Medina and Barton Turf",Medavakkam,Opposite Main Bus Stop,879,3.0,107,05:00,21:00,No,7‑a‑side,"Parking, Floodlights, Washroom",001-770-610-0620,13.186435,80.195186,4,0,2022,2575
Pugh-Beck Turf,Perungudi,Near XYZ Mall,418,2.6,114,06:00,23:00,Yes,Futsal,"Canteen, Washroom, Changing Room",+1-557-928-5087x946,13.016198,80.267299,4,8,2022,1213
Miller Inc Turf,T Nagar,Close to Railway Station,362,4.8,31,08:00,21:00,Yes,Futsal,"Parking, Floodlights, Changing Room, Canteen",497.551.3698x60915,13.047382,80.075927,4,0,2022,1562
Cummings Ltd Turf,Kodambakkam,Beside Metro Station,943,2.9,10,06:00,21:00,Yes,7‑a‑side,"Floodlights, Changing Room, Canteen",765.711.8547,13.06011,80.294566,1,7,2022,2476
Bender Ltd Turf,Chromepet,Next to ABC Park,889,4.3,39,06:00,20:00,Yes,7‑a‑side,"Floodlights, Canteen, Parking, Changing Room",4566320610,13.048956,80.097463,1,1,2022,1796
"Stevens, Butler and Day Turf",Kilpauk,Near XYZ Mall,881,3.4,12,08:00,23:00,No,5‑a‑side,"Washroom, Floodlights",(462)903-0742x198,13.119048,80.11241,2,7,2022,625
"Bell, Moore and Smith Turf",Ambattur,Next to ABC Park,476,4.2,137,05:00,20:00,No,Futsal,"Changing Room, Washroom, Parking",346.913.5309x756,13.062686,80.049283,0,2,2022,4096
"Huffman, Jones and Murphy Turf",Pallavaram,Opposite Main Bus Stop,1057,4.8,112,05:00,21:00,No,5‑a‑side,"Changing Room, Washroom, Canteen, Floodlights",479.246.3543x73200,13.021155,80.104496,4,5,2022,3783
"Hamilton, Powell and Webb Turf",Porur,Beside Metro Station,960,4.9,8,05:00,23:00,No,Futsal,"Canteen, Parking",-9567,13.174516,80.274209,0,2,2022,2103
Ruiz Inc Turf,Porur,Near XYZ Mall,1144,3.6,85,08:00,22:00,No,7‑a‑side,"Canteen, Parking, Changing Room, Floodlights",530.569.6148,13.121117,80.145676,0,6,2022,566
Chase-Snyder Turf,Ambattur,Near XYZ Mall,428,3.3,57,08:00,23:00,No,7‑a‑side,"Floodlights, Parking",892.614.3321x62686,13.133714,80.005271,2,9,2022,732
Ferrell PLC Turf,Tambaram,Next to ABC Park,911,4.4,122,07:00,23:00,Yes,7‑a‑side,"Floodlights, Parking, Washroom",001-229-530-2413x50828,13.111443,80.270503,4,8,2022,2656
Peters Ltd Turf,Porur,Opposite Main Bus Stop,918,4.6,142,07:00,22:00,Yes,5‑a‑side,"Floodlights, Washroom, Changing Room",334-534-7966x06123,13.134897,80.237481,4,1,2022,1669
"Herring, Dominguez and Horton Turf",Chromepet,Next to ABC Park,714,4.8,85,05:00,21:00,No,5‑a‑side,"Parking, Washroom",7659426331,13.125255,80.077841,3,4,2022,2658
Martin PLC Turf,Perungudi,Near XYZ Mall,859,4.5,6,06:00,22:00,Yes,7‑a‑side,"Parking, Changing Room, Floodlights",(626)610-3936x3529,13.02206,80.197373,0,5,2022,4706
Hale-Nielsen Turf,Guindy,Beside Metro Station,961,3.7,7,05:00,20:00,Yes,6‑a‑side,"Washroom, Changing Room, Parking, Canteen",549-313-1932x273,13.147016,80.265922,0,3,2022,1993
Klein Ltd Turf,Guindy,Opposite Main Bus Stop,435,4.2,2,06:00,23:00,Yes,6‑a‑side,"Floodlights, Parking",314-889-6623,13.058096,80.005392,1,3,2022,4507
"Keller, Jackson and Wallace Turf",Perungudi,Beside Metro Station,832,3.3,61,06:00,20:00,Yes,7‑a‑side,"Parking, Canteen",+1-788-615-7781x701,13.093441,80.046362,3,3,2022,2972
Greene-Pearson Turf,Adyar,Opposite Main Bus Stop,574,3.0,99,06:00,23:00,No,7‑a‑side,"Canteen, Floodlights",+1-650-389-2459x2614,13.010177,80.182105,1,1,2022,3160
"Jones, Johnson and Wallace Turf",Ambattur,Close to Railway Station,1087,2.8,67,07:00,20:00,No,5‑a‑side,"Canteen, Washroom, Floodlights",001-666-642-2281,13.025182,80.296341,1,3,2022,3239
Barry PLC Turf,Nungambakkam,Next to ABC Park,440,4.4,30,06:00,22:00,Yes,Futsal,"Canteen, Parking",(642)940-3474x69739,13.038766,80.235606,1,0,2022,2261
Thomas-Munoz Turf,Velachery,Beside Metro Station,723,2.9,28,06:00,21:00,No,Futsal,"Canteen, Changing Room",-8016,13.172938,80.187022,2,5,2022,4014
Thompson-Mercado Turf,Chromepet,Beside Metro Station,722,2.5,81,07:00,21:00,No,5‑a‑side,"Parking, Floodlights, Canteen, Washroom",803.465.7668x10655,13.057411,80.232848,2,0,2022,2475
Morrison-Kelly Turf,Guindy,Close to Railway Station,360,4.6,29,07:00,22:00,Yes,7‑a‑side,"Floodlights, Parking",001-537-618-0813x0978,13.061614,80.123467,1,9,2022,2862
"Hall, Martin and Clark Turf",Chromepet,Opposite Main Bus Stop,386,2.7,65,08:00,21:00,Yes,5‑a‑side,"Floodlights, Changing Room, Washroom",762.870.1977,13.173517,80.019621,3,5,2022,1376
"West, Gillespie and Lynch Turf",Perungudi,Close to Railway Station,402,4.1,58,08:00,22:00,No,5‑a‑side,"Parking, Canteen, Changing Room",407.517.6340x7122,13.009228,80.138678,0,0,2022,4312
Clark-Levine Turf,Mylapore,Next to ABC Park,518,4.4,71,07:00,23:00,Yes,6‑a‑side,"Canteen, Changing Room",5364339488,13.09289,80.131312,3,5,2022,3948
Rodriguez-Arnold Turf,Guindy,Close to Railway Station,777,3.4,21,08:00,22:00,Yes,Futsal,"Parking, Floodlights, Canteen",201.944.1299,13.075542,80.03384,4,9,2022,1812
"Cole, Day and Ross Turf",Perungudi,Near XYZ Mall,963,3.7,85,05:00,22:00,Yes,Futsal,"Changing Room, Parking",+1-798-436-6163x2514,13.0978,80.187677,2,7,2022,1960
Phillips-Ford Turf,Nungambakkam,Opposite Main Bus Stop,637,4.1,140,05:00,23:00,Yes,Futsal,"Washroom, Canteen, Parking",(742)925-7311x6553,13.07467,80.247006,0,1,2022,3209
"Reynolds, Nguyen and Ross Turf",T Nagar,Beside Metro Station,576,4.0,8,05:00,21:00,Yes,7‑a‑side,"Parking, Changing Room, Floodlights",+1-950-535-9381x31163,13.124898,80.242933,0,1,2022,2824
"Mullins, Sanford and Weaver Turf",Tambaram,Close to Railway Station,1024,3.3,126,05:00,20:00,No,5‑a‑side,"Washroom, Parking, Floodlights",+1-465-436-2328x5610,13.010443,80.085024,4,3,2022,2233
"Stephenson, Perez and Reid Turf",Medavakkam,Beside Metro Station,448,4.2,21,08:00,23:00,Yes,6‑a‑side,"Washroom, Parking",7023820598,13.125549,80.264276,4,2,2022,2105
"Rivera, Romero and Hogan Turf",Anna Nagar,Close to Railway Station,940,5.0,58,08:00,23:00,No,6‑a‑side,"Canteen, Floodlights, Washroom, Parking",821.395.6922x15639,13.099422,80.058789,1,3,2022,3063
"Smith, Williams and Coleman Turf",Mylapore,Near XYZ Mall,610,3.1,81,08:00,23:00,No,6‑a‑side,"Parking, Canteen, Washroom, Floodlights",(810)882-0379,13.171269,80.152566,2,6,2022,3921
Cortez-Horne Turf,Chromepet,Close to Railway Station,466,3.2,64,08:00,21:00,Yes,6‑a‑side,"Canteen, Washroom, Parking",(740)673-9852,13.13218,80.031828,2,0,2022,4017
"Sampson, Keith and Williams Turf",Kodambakkam,Near XYZ Mall,949,2.7,132,06:00,20:00,No,6‑a‑side,"Canteen, Changing Room, Floodlights, Parking",+1-391-483-3286x46921,13.007506,80.262691,3,5,2022,2897
Ruiz Group Turf,Guindy,Next to ABC Park,438,3.1,149,08:00,23:00,Yes,7‑a‑side,"Floodlights, Parking, Washroom",4685706255,13.107799,80.014162,1,2,2022,4235
Jones LLC Turf,Porur,Close to Railway Station,818,3.9,10,07:00,23:00,Yes,Futsal,"Canteen, Changing Room",8365016447,13.137271,80.076277,1,9,2022,3370
"Jones, Smith and Nelson Turf",Kilpauk,Next to ABC Park,1005,4.8,82,06:00,20:00,No,6‑a‑side,"Changing Room, Parking, Canteen",(437)807-3130,13.059523,80.205554,1,6,2022,1660
Summers-Hernandez Turf,Ambattur,Opposite Main Bus Stop,372,4.1,123,07:00,22:00,Yes,7‑a‑side,"Changing Room, Canteen",789-946-6751,13.080938,80.252768,1,9,2022,742
Olson LLC Turf,Guindy,Beside Metro Station,724,3.6,62,06:00,22:00,No,Futsal,"Floodlights, Canteen",8793566169,13.106403,80.031517,2,1,2022,3090
"Colon, Miller and Webb Turf",Perungudi,Beside Metro Station,880,2.5,122,07:00,22:00,Yes,6‑a‑side,"Washroom, Changing Room",(531)875-3883,13.133137,80.296052,2,1,2022,1563
Murphy Ltd Turf,OMR,Opposite Main Bus Stop,1044,2.7,104,07:00,22:00,Yes,5‑a‑side,"Canteen, Floodlights, Washroom",(501)660-1225x060,13.166073,80.095973,1,3,2022,4824
Randolph LLC Turf,Velachery,Near XYZ Mall,702,5.0,55,05:00,23:00,No,5‑a‑side,"Washroom, Canteen",9693116092,13.021443,80.182889,3,0,2022,3095
Kennedy LLC Turf,Medavakkam,Next to ABC Park,418,4.1,39,08:00,20:00,Yes,7‑a‑side,"Changing Room, Washroom, Canteen",4129250930,13.019708,80.180885,0,2,2022,1419
Parker-Morrow Turf,Kodambakkam,Beside Metro Station,761,2.9,121,06:00,23:00,Yes,5‑a‑side,"Canteen, Washroom, Changing Room",+1-328-517-8990x4337,13.054415,80.086569,0,8,2022,505
Fischer LLC Turf,Medavakkam,Next to ABC Park,394,3.4,9,08:00,22:00,No,Futsal,"Floodlights, Washroom, Changing Room",-9467,13.109662,80.026122,3,6,2022,967
"Gross, Juarez and Marquez Turf",Kilpauk,Next to ABC Park,579,3.0,61,08:00,21:00,No,7‑a‑side,"Changing Room, Parking, Washroom, Canteen",4687283058,13.046937,80.034182,1,6,2022,4670
Keller LLC Turf,Kilpauk,Close to Railway Station,1029,4.4,19,05:00,22:00,No,7‑a‑side,"Parking, Changing Room, Floodlights",+1-233-665-5951x20020,13.178942,80.160928,2,3,2022,503
"Cooper, Christensen and White Turf",Tambaram,Close to Railway Station,787,3.2,53,08:00,20:00,Yes,7‑a‑side,"Parking, Washroom",7622370745,13.11607,80.050624,0,1,2022,1145
"Phillips, Thompson and Harvey Turf",Tambaram,Opposite Main Bus Stop,595,4.8,11,05:00,22:00,No,6‑a‑side,"Parking, Washroom",(637)339-1105,13.029444,80.171186,4,3,2022,617
Hubbard-Santana Turf,Porur,Close to Railway Station,1076,4.8,75,08:00,21:00,No,7‑a‑side,"Changing Room, Washroom, Canteen",843.355.3955x472,13.072737,80.194523,4,5,2022,3428
Tran Ltd Turf,Nungambakkam,Next to ABC Park,394,3.4,13,05:00,21:00,Yes,7‑a‑side,"Changing Room, Canteen",383.958.2450,13.094368,80.035678,3,2,2022,3051
"Stout, Webb and Pacheco Turf",Pallavaram,Beside Metro Station,439,3.6,26,06:00,20:00,No,6‑a‑side,"Parking, Floodlights",8043422306,13.004017,80.20868,1,0,2022,4789
Martinez Group Turf,OMR,Next to ABC Park,666,4.3,71,07:00,20:00,Yes,6‑a‑side,"Floodlights, Canteen, Parking, Changing Room",(356)386-7239,13.138787,80.293845,0,7,2022,1346
Snow-Freeman Turf,Medavakkam,Next to ABC Park,719,3.2,50,05:00,21:00,Yes,5‑a‑side,"Parking, Changing Room, Floodlights",(592)509-5041x9898,13.050821,80.025915,1,4,2022,3262
Mckinney-Lopez Turf,Mylapore,Next to ABC Park,1188,3.4,18,07:00,23:00,No,5‑a‑side,"Parking, Floodlights, Changing Room, Canteen",544-973-1934,13.036162,80.046913,0,4,2022,1641
Wiley PLC Turf,Perungudi,Close to Railway Station,487,3.5,98,06:00,23:00,No,Futsal,"Parking, Canteen, Floodlights",001-697-382-2638,13.179257,80.018262,3,3,2022,2310
Mcdonald and Sons Turf,Ambattur,Near XYZ Mall,433,3.0,18,06:00,22:00,No,7‑a‑side,"Canteen, Changing Room, Floodlights",229-647-0118x6507,13.091647,80.183892,3,5,2022,1223
Mckenzie-Strickland Turf,OMR,Close to Railway Station,474,3.2,84,08:00,20:00,Yes,Futsal,"Washroom, Canteen, Floodlights",(214)353-4903,13.058716,80.198876,4,2,2022,724
Baker-Lee Turf,Tambaram,Opposite Main Bus Stop,917,2.9,125,07:00,22:00,Yes,Futsal,"Washroom, Parking, Changing Room",2912954052,13.095193,80.013704,1,8,2022,4708
Rice-Lewis Turf,Medavakkam,Opposite Main Bus Stop,601,4.0,131,07:00,20:00,Yes,Futsal,"Canteen, Changing Room",2427578001,13.123393,80.145985,4,4,2022,2548
Garcia-Collins Turf,Mylapore,Near XYZ Mall,615,4.0,81,05:00,21:00,Yes,5‑a‑side,"Washroom, Floodlights, Changing Room",001-625-909-6641,13.196337,80.168139,1,2,2022,4915
Carpenter Group Turf,T Nagar,Beside Metro Station,1055,4.1,74,08:00,22:00,Yes,6‑a‑side,"Parking, Changing Room",371.687.7333,13.013742,80.240028,4,0,2022,2073
"Roberts, Savage and Johnson Turf",Velachery,Beside Metro Station,688,3.6,61,06:00,22:00,No,7‑a‑side,"Washroom, Floodlights",475-967-6508x39974,13.192706,80.275062,2,9,2022,2328
Jones PLC Turf,Porur,Next to ABC Park,1039,3.2,63,08:00,20:00,Yes,6‑a‑side,"Canteen, Floodlights, Parking",(469)312-8723x84540,13.09188,80.245715,2,5,2022,2417
Castillo-Hill Turf,OMR,Opposite Main Bus Stop,771,4.8,101,08:00,20:00,No,6‑a‑side,"Washroom, Changing Room, Canteen, Floodlights",001-389-537-9521,13.119677,80.133252,2,1,2022,4734
Gilbert LLC Turf,Porur,Beside Metro Station,442,3.5,102,08:00,23:00,No,6‑a‑side,"Canteen, Floodlights",7965726035,13.003478,80.25137,2,2,2022,2526
"Romero, Branch and Hall Turf",Perungudi,Beside Metro Station,508,4.1,58,06:00,22:00,Yes,Futsal,"Changing Room, Canteen, Washroom",966.983.3191,13.102187,80.074102,0,0,2022,4244
"Bowman, Smith and Rivas Turf",Perungudi,Next to ABC Park,784,2.7,85,07:00,20:00,No,5‑a‑side,"Changing Room, Parking",(610)757-6050,13.100255,80.21494,2,8,2022,1401
"Webb, Santiago and Foster Turf",Tambaram,Near XYZ Mall,1075,4.8,3,05:00,22:00,Yes,Futsal,"Canteen, Washroom, Parking",(248)783-7572x002,13.106398,80.291168,3,7,2022,2539
"James, Berry and Watson Turf",T Nagar,Next to ABC Park,731,3.8,125,06:00,21:00,No,5‑a‑side,"Floodlights, Changing Room, Washroom",(972)232-7532,13.086909,80.250013,3,1,2022,509
Wang and Sons Turf,Guindy,Beside Metro Station,987,3.6,127,06:00,23:00,Yes,6‑a‑side,"Floodlights, Parking",001-892-236-5098x2312,13.030027,80.24328,0,7,2022,760
"Rogers, Warren and Goodwin Turf",Ambattur,Near XYZ Mall,305,4.7,52,05:00,22:00,Yes,Futsal,"Changing Room, Floodlights, Canteen, Washroom",(891)269-9296,13.174177,80.045685,2,8,2022,2173
"Oliver, Hill and Morgan Turf",Tambaram,Next to ABC Park,1157,4.8,95,05:00,22:00,Yes,5‑a‑side,"Floodlights, Parking",001-222-349-7965x5384,13.045944,80.236605,2,0,2022,2719
"Lozano, Castillo and Villarreal Turf",Medavakkam,Next to ABC Park,570,4.8,37,07:00,22:00,Yes,Futsal,"Canteen, Floodlights, Changing Room",-6106,13.022754,80.274767,2,4,2022,2560
Rollins Ltd Turf,Ambattur,Opposite Main Bus Stop,404,2.9,124,07:00,20:00,No,6‑a‑side,"Changing Room, Washroom",475.557.9467,13.012188,80.208053,4,7,2022,4213
Garcia-Smith Turf,Velachery,Near XYZ Mall,986,3.7,25,05:00,23:00,No,5‑a‑side,"Canteen, Floodlights, Changing Room",831.678.4378,13.180647,80.150115,1,1,2022,2119
Ali-Nielsen Turf,Porur,Close to Railway Station,643,3.5,7,05:00,20:00,Yes,Futsal,"Changing Room, Parking, Floodlights",461-228-2173,13.153226,80.053369,4,3,2022,820
Nichols-Chase Turf,Chromepet,Close to Railway Station,940,4.8,133,06:00,21:00,No,7‑a‑side,"Changing Room, Parking",001-697-269-8358,13.062807,80.176264,1,6,2022,1842
Taylor-House Turf,Guindy,Next to ABC Park,934,3.0,63,05:00,22:00,Yes,7‑a‑side,"Parking, Changing Room, Washroom",(817)625-2440x151,13.126829,80.050344,2,2,2022,2876
Russell-Davis Turf,Kodambakkam,Opposite Main Bus Stop,1126,3.2,67,08:00,23:00,Yes,Futsal,"Parking, Washroom",925-324-7214,13.131406,80.248642,2,4,2022,3332
Brown-Harris Turf,Perungudi,Beside Metro Station,1112,4.4,121,05:00,20:00,No,6‑a‑side,"Floodlights, Washroom, Changing Room",681.903.9312,13.1572,80.032922,4,7,2022,3324
Mills-Lee Turf,Perungudi,Near XYZ Mall,1154,2.6,53,07:00,21:00,Yes,7‑a‑side,"Washroom, Floodlights",9715801549,13.145345,80.037813,4,9,2022,2494
Sexton-Marshall Turf,Nungambakkam,Near XYZ Mall,764,4.8,64,06:00,22:00,Yes,6‑a‑side,"Changing Room, Canteen, Parking",453.316.5428,13.107157,80.006905,1,2,2022,3458
Ferguson PLC Turf,Tambaram,Opposite Main Bus Stop,975,2.6,107,07:00,20:00,No,7‑a‑side,"Floodlights, Changing Room",(696)671-2253x58865,13.112342,80.164497,3,3,2022,2538
Vargas-Robbins Turf,Porur,Beside Metro Station,774,4.5,90,08:00,22:00,No,5‑a‑side,"Changing Room, Washroom, Parking, Canteen",901-678-7118x8084,13.01015,80.205806,1,8,2022,3990
Carpenter-Long Turf,Adyar,Near XYZ Mall,1059,2.8,120,08:00,23:00,Yes,6‑a‑side,"Washroom, Parking, Changing Room",(890)550-9457,13.14685,80.135007,4,6,2022,4177
"Escobar, Bennett and Powers Turf",Kilpauk,Close to Railway Station,568,3.0,135,08:00,23:00,No,6‑a‑side,"Floodlights, Canteen",001-703-800-0049x355,13.012553,80.001723,4,0,2022,1618
"Jones, Scott and Ball Turf",Nungambakkam,Next to ABC Park,394,4.4,99,07:00,23:00,No,7‑a‑side,"Washroom, Floodlights, Parking, Canteen",+1-724-269-4368x32479,13.057274,80.101305,0,3,2022,2104
"Harper, Diaz and Alvarado Turf",Velachery,Close to Railway Station,1039,2.8,13,06:00,22:00,Yes,5‑a‑side,"Canteen, Washroom, Parking",938-392-7792,13.143543,80.224575,4,3,2022,4527
Smith Ltd Turf,Ambattur,Next to ABC Park,1088,3.6,107,06:00,20:00,Yes,7‑a‑side,"Canteen, Changing Room",+1-325-235-4102x976,13.050024,80.129505,0,8,2022,735
"Hernandez, White and Wright Turf",Kodambakkam,Near XYZ Mall,508,2.9,120,07:00,21:00,No,Futsal,"Canteen, Washroom, Changing Room, Floodlights",678-936-6842,13.045303,80.005594,3,5,2022,2469
Wilson PLC Turf,Perungudi,Opposite Main Bus Stop,337,3.5,3,08:00,20:00,Yes,6‑a‑side,"Parking, Canteen",263-615-9587x6195,13.069226,80.066486,1,8,2022,4929
"Robinson, Roach and Freeman Turf",Ambattur,Close to Railway Station,1094,4.7,72,07:00,21:00,Yes,5‑a‑side,"Washroom, Parking, Canteen",001-654-271-5590,13.066704,80.055977,1,5,2022,2408
"Mccarty, Crawford and Munoz Turf",Tambaram,Next to ABC Park,1178,3.2,148,06:00,23:00,No,5‑a‑side,"Washroom, Canteen",4885722926,13.026665,80.032187,0,5,2022,875
Flynn LLC Turf,Nungambakkam,Beside Metro Station,842,4.6,132,07:00,22:00,No,5‑a‑side,"Parking, Washroom, Floodlights, Canteen",701.422.7008x736,13.006902,80.181167,1,4,2022,4030
Leon Group Turf,Nungambakkam,Close to Railway Station,995,5.0,97,05:00,22:00,No,6‑a‑side,"Floodlights, Parking, Washroom",-10893,13.162698,80.197407,4,4,2022,3135
Jackson PLC Turf,Pallavaram,Next to ABC Park,511,2.6,4,08:00,21:00,No,Futsal,"Washroom, Changing Room, Floodlights",393.285.5508,13.065815,80.101195,2,1,2022,2070
"Adams, Robinson and Travis Turf",Perungudi,Opposite Main Bus Stop,632,2.9,61,05:00,20:00,Yes,6‑a‑side,"Parking, Canteen, Washroom",001-640-397-4287x577,13.193754,80.149168,0,7,2022,3060
Anderson PLC Turf,Kilpauk,Next to ABC Park,482,3.0,119,06:00,20:00,No,7‑a‑side,"Floodlights, Washroom, Parking",+1-263-702-0423x773,13.121733,80.244166,1,7,2022,3891
Boyd Inc Turf,Porur,Beside Metro Station,1042,3.2,121,07:00,22:00,No,7‑a‑side,"Floodlights, Washroom",+1-705-410-5112x14950,13.119367,80.106858,0,0,2022,3465
"Stone, Braun and Harris Turf",Nungambakkam,Near XYZ Mall,1122,4.1,111,05:00,20:00,No,Futsal,"Parking, Changing Room, Washroom",6333255767,13.161426,80.139108,0,7,2022,4143
Savage-French Turf,Kodambakkam,Close to Railway Station,966,4.6,11,05:00,23:00,Yes,7‑a‑side,"Parking, Changing Room, Washroom",(331)456-1812x46970,13.19517,80.238118,2,4,2022,4350
Howard Ltd Turf,Adyar,Close to Railway Station,706,3.9,128,08:00,21:00,Yes,6‑a‑side,"Canteen, Parking, Changing Room",9555001241,13.046937,80.065931,4,1,2022,1372
"Clark, Jensen and Williams Turf",Nungambakkam,Next to ABC Park,912,3.3,135,06:00,21:00,No,Futsal,"Parking, Washroom, Changing Room",849.975.6033,13.03786,80.040213,0,1,2022,1752
Martinez PLC Turf,Mylapore,Opposite Main Bus Stop,672,3.1,73,07:00,23:00,Yes,6‑a‑side,"Canteen, Parking, Washroom, Changing Room",832-888-5620x3749,13.150346,80.278149,1,5,2022,1814
Hunt-Banks Turf,T Nagar,Close to Railway Station,353,4.2,73,08:00,21:00,Yes,7‑a‑side,"Floodlights, Canteen, Washroom, Changing Room",001-752-932-9403x7612,13.089606,80.04236,3,8,2022,3398
